[2025-11-01 17:21:53] Cấm dừng và đỗ xe, distance=3.5m, conf=0.50
[2025-11-01 17:21:53] Cấm dừng và đỗ xe, distance=3.53m, conf=0.32
[2025-11-01 17:21:54] Cấm dừng và đỗ xe, distance=3.65m, conf=0.29
[2025-11-01 17:21:54] Cấm dừng và đỗ xe, distance=3.65m, conf=0.29
[2025-11-01 17:21:54] Cấm dừng và đỗ xe, distance=3.65m, conf=0.29
[2025-11-01 17:21:54] Cấm dừng và đỗ xe, distance=3.65m, conf=0.29
[2025-11-01 17:21:54] Cấm dừng và đỗ xe, distance=3.75m, conf=0.47
[2025-11-01 17:21:54] Cấm dừng và đỗ xe, distance=3.75m, conf=0.52
[2025-11-01 17:21:54] Cấm dừng và đỗ xe, distance=3.75m, conf=0.52
[2025-11-01 17:21:54] Cấm dừng và đỗ xe, distance=3.75m, conf=0.52
[2025-11-01 17:21:54] Cấm dừng và đỗ xe, distance=3.75m, conf=0.52
[2025-11-01 17:21:54] Cấm dừng và đỗ xe, distance=3.68m, conf=0.46
[2025-11-01 17:21:54] Cấm dừng và đỗ xe, distance=3.68m, conf=0.46
[2025-11-01 17:21:54] Cấm dừng và đỗ xe, distance=3.68m, conf=0.46
[2025-11-01 17:21:54] Cấm dừng và đỗ xe, distance=3.68m, conf=0.46
[2025-11-01 17:21:54] Cấm dừng và đỗ xe, distance=3.75m, conf=0.58
[2025-11-01 17:21:54] Cấm dừng và đỗ xe, distance=3.56m, conf=0.44
[2025-11-01 17:21:54] Cấm dừng và đỗ xe, distance=3.56m, conf=0.44
[2025-11-01 17:21:54] Cấm dừng và đỗ xe, distance=3.56m, conf=0.44
[2025-11-01 17:21:54] Cấm dừng và đỗ xe, distance=3.56m, conf=0.44
[2025-11-01 17:21:54] Cấm dừng và đỗ xe, distance=3.59m, conf=0.34
[2025-11-01 17:21:54] Cấm dừng và đỗ xe, distance=3.59m, conf=0.34
[2025-11-01 17:21:55] Cấm dừng và đỗ xe, distance=3.59m, conf=0.34
[2025-11-01 17:21:55] Cấm dừng và đỗ xe, distance=3.59m, conf=0.34
[2025-11-01 17:21:55] Cấm dừng và đỗ xe, distance=3.53m, conf=0.67
[2025-11-01 17:21:55] Cấm dừng và đỗ xe, distance=3.53m, conf=0.67
[2025-11-01 17:21:55] Cấm dừng và đỗ xe, distance=3.53m, conf=0.67
[2025-11-01 17:21:55] Cấm dừng và đỗ xe, distance=3.53m, conf=0.67
[2025-11-01 17:21:55] Cấm dừng và đỗ xe, distance=3.47m, conf=0.45
[2025-11-01 17:21:56] Cấm dừng và đỗ xe, distance=3.41m, conf=0.40
[2025-11-01 17:21:56] Cấm dừng và đỗ xe, distance=3.41m, conf=0.40
[2025-11-01 17:21:56] Cấm dừng và đỗ xe, distance=3.41m, conf=0.40
[2025-11-01 17:21:56] Cấm dừng và đỗ xe, distance=3.41m, conf=0.40
[2025-11-01 17:21:56] Cấm dừng và đỗ xe, distance=3.56m, conf=0.68
[2025-11-01 17:21:57] Cấm dừng và đỗ xe, distance=3.33m, conf=0.29
[2025-11-01 17:21:57] Cấm dừng và đỗ xe, distance=3.33m, conf=0.29
[2025-11-01 17:21:57] Cấm dừng và đỗ xe, distance=3.33m, conf=0.29
[2025-11-01 17:21:57] Cấm dừng và đỗ xe, distance=3.33m, conf=0.29
[2025-11-01 17:22:12] Cấm dừng và đỗ xe, distance=3.28m, conf=0.52
[2025-11-01 17:22:12] Cấm dừng và đỗ xe, distance=3.28m, conf=0.52
[2025-11-01 17:22:13] Cấm dừng và đỗ xe, distance=3.18m, conf=0.68
[2025-11-01 17:22:13] Cấm dừng và đỗ xe, distance=3.18m, conf=0.68
[2025-11-01 17:22:13] Cấm dừng và đỗ xe, distance=3.18m, conf=0.68
[2025-11-01 17:22:13] Cấm dừng và đỗ xe, distance=3.23m, conf=0.49
[2025-11-01 17:22:13] Cấm dừng và đỗ xe, distance=3.23m, conf=0.49
[2025-11-01 17:22:13] Cấm dừng và đỗ xe, distance=3.39m, conf=0.51
[2025-11-01 17:22:13] Cấm dừng và đỗ xe, distance=3.39m, conf=0.51
